From	Entry	Protein names	Gene Names	Organism	Length
E9PXF0	E9PXF0	Protocadherin 17	Pcdh17	Mus musculus (Mouse)	1157
Q5SYD0	Q5SYD0	Unconventional myosin-Id	Myo1d	Mus musculus (Mouse)	1006
Q99JY0	Q99JY0	"Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]"	Hadhb	Mus musculus (Mouse)	475
Q80WJ7	Q80WJ7	Protein LYRIC (3D3/LYRIC) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	Mtdh Lyric	Mus musculus (Mouse)	579
O89023	O89023	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	Tpp1 Cln2	Mus musculus (Mouse)	562
Q6ZWQ0	Q6ZWQ0	Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2)	Syne2	Mus musculus (Mouse)	6874
Q8VEM8	Q8VEM8	"Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)"	Slc25a3	Mus musculus (Mouse)	357
Q8BX07	Q8BX07	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2 (EC 3.1.3.16) (Small C-terminal domain phosphatase 2) (Small CTD phosphatase 2) (SCP2)	Ctdsp2	Mus musculus (Mouse)	270
Q9R0L6-2	Q9R0L6	Pericentriolar material 1 protein (PCM-1) (mPCM-1)	Pcm1	Mus musculus (Mouse)	2025
Q9QZI8	Q9QZI8	Serine incorporator 1 (Axotomy-induced glyco/Golgi protein 2) (Membrane protein TMS-2) (Tumor differentially expressed protein 1-like) (Tumor differentially expressed protein 2)	Serinc1 Aigp2 Tde1l Tde2 Tms2	Mus musculus (Mouse)	453
P97434-5	P97434	Myosin phosphatase Rho-interacting protein (Rho-interacting protein 3) (RIP3) (p116Rip)	Mprip Kiaa0864 Mrip Rhoip3	Mus musculus (Mouse)	1024
A0A140LI88	A0A140LI88	Ankyrin repeat domain-containing protein 31	Ankrd31	Mus musculus (Mouse)	1857
Q9EP69	Q9EP69	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)	Sacm1l Kiaa0851 Sac1	Mus musculus (Mouse)	587
Q9CPR5	Q9CPR5	"39S ribosomal protein L15, mitochondrial (L15mt) (MRP-L15)"	Mrpl15	Mus musculus (Mouse)	295
Q9QUJ7	Q9QUJ7	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4)	Acsl4 Acs4 Facl4	Mus musculus (Mouse)	711
Q9CZT8	Q9CZT8	Ras-related protein Rab-3B	Rab3b	Mus musculus (Mouse)	219
E9Q7G0	E9Q7G0	Nuclear mitotic apparatus protein 1 (Nuclear mitotic apparatus protein) (NuMA protein)	Numa1	Mus musculus (Mouse)	2094
Q8BG51-4	Q8BG51	Mitochondrial Rho GTPase 1 (MIRO-1) (EC 3.6.5.-) (Ras homolog gene family member T1)	Rhot1 Arht1	Mus musculus (Mouse)	631
E9QAF4	E9QAF4	"Pleckstrin homology-like domain, family B, member 3"	Phldb3	Mus musculus (Mouse)	648
Q8BXK8	Q8BXK8	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2)"	Agap1 Centg2 Kiaa1099	Mus musculus (Mouse)	857
Q8VDP6	Q8VDP6	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	Cdipt Pis1	Mus musculus (Mouse)	213
Q9DBJ3	Q9DBJ3	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 (BAI1-associated protein 2-like protein 1) (Insulin receptor tyrosine kinase substrate)	Baiap2l1 Irtks	Mus musculus (Mouse)	514
Q9EPE9	Q9EPE9	Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Endoplasmic reticulum P5A-ATPase)	Atp13a1 Atp13a	Mus musculus (Mouse)	1200
Q3UKC1	Q3UKC1	Tax1-binding protein 1 homolog	Tax1bp1	Mus musculus (Mouse)	814
Q8BQ30	Q8BQ30	Phostensin (Protein phosphatase 1 F-actin cytoskeleton-targeting subunit) (Protein phosphatase 1 regulatory subunit 18)	Ppp1r18	Mus musculus (Mouse)	594
P70275	P70275	Semaphorin-3E (Semaphorin-H) (Sema H)	Sema3e Semah Semh	Mus musculus (Mouse)	775
Q8BR76	Q8BR76	Meckelin (Meckel syndrome type 3 protein homolog) (Transmembrane protein 67)	Tmem67 Mks3	Mus musculus (Mouse)	992
Q6ZWU9	Q6ZWU9	40S ribosomal protein S27	Rps27	Mus musculus (Mouse)	84
Q3TZZ7	Q3TZZ7	Extended synaptotagmin-2 (E-Syt2)	Esyt2 D12Ertd551e Fam62b	Mus musculus (Mouse)	845
Q80XC6	Q80XC6	Nuclear exosome regulator NRDE2 (Protein NRDE2 homolog)	Nrde2	Mus musculus (Mouse)	1172
Q99MR3	Q99MR3	Solute carrier family 12 member 9 (Cation-chloride cotransporter-interacting protein 1) (Potassium-chloride transporter 9)	Slc12a9 Cip1 Slc12a8	Mus musculus (Mouse)	914
Q9DC50	Q9DC50	Peroxisomal carnitine O-octanoyltransferase (COT) (EC 2.3.1.137)	Crot Cot	Mus musculus (Mouse)	612
Q61382	Q61382	TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich motif associated to RING and Traf domains protein 1)	Traf4 Cart1	Mus musculus (Mouse)	470
O55111	O55111	Desmoglein-2	Dsg2	Mus musculus (Mouse)	1122
Q8BIV3	Q8BIV3	Ran-binding protein 6 (RanBP6)	Ranbp6	Mus musculus (Mouse)	1105
Q9R0M6	Q9R0M6	Ras-related protein Rab-9A (Sid 99)	Rab9a Rab9 Sid99	Mus musculus (Mouse)	201
Q99KE1	Q99KE1	"NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)"	Me2	Mus musculus (Mouse)	589
Q9WUL7	Q9WUL7	ADP-ribosylation factor-like protein 3	Arl3	Mus musculus (Mouse)	182
P55086	P55086	Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1)	F2rl1 Gpcr11 Gpr11 Par2	Mus musculus (Mouse)	399
Q9ER00	Q9ER00	Syntaxin-12	Stx12	Mus musculus (Mouse)	274
Q99JW4	Q99JW4	LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1)	Lims1 Pinch1	Mus musculus (Mouse)	325
Q8K0Z7	Q8K0Z7	Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase 1)	Taco1 Ccdc44	Mus musculus (Mouse)	294
Q8VCY6	Q8VCY6	U3 small nucleolar RNA-associated protein 6 homolog (Multiple hat domains protein)	Utp6 Mhat	Mus musculus (Mouse)	597
Q9EQJ9	Q9EQJ9	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)"	Magi3 Kiaa1634	Mus musculus (Mouse)	1476
E9PVX6	E9PVX6	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67 homolog) (Antigen KI-67 homolog) (Antigen Ki67 homolog)	Mki67	Mus musculus (Mouse)	3177
Q80U70	Q80U70	Polycomb protein Suz12 (Suppressor of zeste 12 protein homolog)	Suz12 D11Ertd530e Kiaa0160	Mus musculus (Mouse)	741
Q8BXN9-2	Q8BXN9	Transmembrane protein 87A	Tmem87a	Mus musculus (Mouse)	555
P61226	P61226	Ras-related protein Rap-2b (EC 3.6.5.2)	Rap2b	Mus musculus (Mouse)	183
Q9R0G8	Q9R0G8	Nik-related protein kinase (EC 2.7.11.1) (Nck-interacting kinase-like embryo specific kinase) (NESK) (NIK-like embryo-specific kinase)	Nrk Nesk	Mus musculus (Mouse)	1455
Q9WUQ2	Q9WUQ2	Prolactin regulatory element-binding protein (Mammalian guanine nucleotide exchange factor mSec12)	Preb Sec12	Mus musculus (Mouse)	417
Q3TTY0	Q3TTY0	"Phospholipase B1, membrane-associated (Phospholipase B) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)"	Plb1 Plb	Mus musculus (Mouse)	1478
P31809	P31809	Carcinoembryonic antigen-related cell adhesion molecule 1 (Biliary glycoprotein 1) (BGP-1) (Biliary glycoprotein D) (MHVR1) (Murine hepatitis virus receptor) (MHV-R) (CD antigen CD66a)	Ceacam1 Bgp Bgp1	Mus musculus (Mouse)	521
O35083	O35083	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 1) (1-AGP acyltransferase 1) (1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha) (LPAAT-alpha)	Agpat1	Mus musculus (Mouse)	285
A2APB8	A2APB8	Targeting protein for Xklp2	Tpx2	Mus musculus (Mouse)	745
Q5SW75-4	Q5SW75	Protein phosphatase Slingshot homolog 2 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 2) (SSH-2L) (mSSH-2L)	Ssh2 Kiaa1725 Ssh2l	Mus musculus (Mouse)	1423
P29341	P29341	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Pabpc1 Pabp1	Mus musculus (Mouse)	636
Q921F2	Q921F2	TAR DNA-binding protein 43 (TDP-43)	Tardbp Tdp43	Mus musculus (Mouse)	414
Q91VX2	Q91VX2	Ubiquitin-associated protein 2 (UBAP-2) (Protein lingerer homolog 1) (mLig-1)	Ubap2 Lig1	Mus musculus (Mouse)	1132
P56183	P56183	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)	Rrp1 Nnp1	Mus musculus (Mouse)	494
Q7TPQ8	Q7TPQ8	"Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I-branching beta-1,6-acetylglucosaminyltransferase family polypeptide 3) (N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase)"	Gcnt2 Ignt3	Mus musculus (Mouse)	401
P47740	P47740	Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 3) (Fatty aldehyde dehydrogenase)	Aldh3a2 Ahd-3 Ahd3 Aldh3 Aldh4	Mus musculus (Mouse)	484
P59266	P59266	Acyl-coenzyme A diphosphatase FITM2 (EC 3.6.1.-) (Fat storage-inducing transmembrane protein 2) (Fat-inducing protein 2)	Fitm2 Fit2	Mus musculus (Mouse)	262
Q8BHN3-2	Q8BHN3	Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	Ganab G2an Kiaa0088	Mus musculus (Mouse)	944
Q6P4T2	Q6P4T2	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	Snrnp200 Kiaa0788	Mus musculus (Mouse)	2136
Q4KWH5	Q4KWH5	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-1) (Phospholipase C-eta-1) (PLC-eta-1) (Phospholipase C-like protein 3) (PLC-L3)"	Plch1 Kiaa1069 Plcl3	Mus musculus (Mouse)	1682
Q8BIJ7	Q8BIJ7	RUN and FYVE domain-containing protein 1 (Rab4-interacting protein)	Rufy1 Rabip4	Mus musculus (Mouse)	712
P70280	P70280	Vesicle-associated membrane protein 7 (VAMP-7) (Synaptobrevin-like protein 1)	Vamp7 Sybl1	Mus musculus (Mouse)	220
Q63739	Q63739	Protein tyrosine phosphatase type IVA 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a1) (Protein-tyrosine phosphatase of regenerating liver 1) (PRL-1)	Ptp4a1 Prl1	Mus musculus (Mouse)	173
P35278	P35278	Ras-related protein Rab-5C (EC 3.6.5.2)	Rab5c	Mus musculus (Mouse)	216
A2A791	A2A791	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	Zmym4 Kiaa0425 Zfp262 Znf262	Mus musculus (Mouse)	1549
P97390	P97390	Vacuolar protein sorting-associated protein 45 (mVps45)	Vps45 Vps45a	Mus musculus (Mouse)	570
Q8BK72	Q8BK72	"28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27)"	Mrps27	Mus musculus (Mouse)	415
Q9DCS3	Q9DCS3	"Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (NRBF-1)"	Mecr Nrbf1	Mus musculus (Mouse)	373
Q8VCF1-3	Q8VCF1	Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog)	Cant1	Mus musculus (Mouse)	403
E9PYG6	E9PYG6	RAS p21 protein activator 1	Rasa1	Mus musculus (Mouse)	1038
Q9CX86	Q9CX86	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)	Hnrnpa0 Hnrpa0	Mus musculus (Mouse)	305
Q99JR8	Q99JR8	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 (60 kDa BRG-1/Brm-associated factor subunit B) (BRG1-associated factor 60B) (BAF60B)	Smarcd2 Baf60b	Mus musculus (Mouse)	531
P19157	P19157	Glutathione S-transferase P 1 (Gst P1) (EC 2.5.1.18) (GST YF-YF) (GST class-pi) (GST-piB) (Preadipocyte growth factor)	Gstp1 Gstpib	Mus musculus (Mouse)	210
Q69ZI1	Q69ZI1	E3 ubiquitin-protein ligase SH3RF1 (EC 2.3.2.27) (Plenty of SH3s) (Protein POSH) (RING-type E3 ubiquitin transferase SH3RF1) (SH3 domain-containing RING finger protein 1) (SH3 multiple domains protein 2)	Sh3rf1 Kiaa1494 Posh Posh1 Sh3md2	Mus musculus (Mouse)	892
Q14B71	Q14B71	Cell division cycle-associated protein 2	Cdca2	Mus musculus (Mouse)	982
Q61335	Q61335	B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (p28)	Bcap31 Bap31	Mus musculus (Mouse)	245
P26039	P26039	Talin-1	Tln1 Tln	Mus musculus (Mouse)	2541
Q31125	Q31125	"Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)"	Slc39a7 H2-Ke4 Hke4	Mus musculus (Mouse)	476
Q9Z1Z0	Q9Z1Z0	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	Uso1 Vdp	Mus musculus (Mouse)	959
Q8K3K7	Q8K3K7	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta)	Agpat2	Mus musculus (Mouse)	278
P97496	P97496	SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1) (SWI3-related protein) (BAF155)	Smarcc1 Baf155 Srg3	Mus musculus (Mouse)	1104
Q8BHF7	Q8BHF7	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase 1) (PGP synthase 1) (Silencer-associated factor)"	Pgs1 Saf	Mus musculus (Mouse)	553
Q99KP6	Q99KP6	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)	Prpf19 Prp19 Snev	Mus musculus (Mouse)	504
Q3TMP1	Q3TMP1	"General transcription factor IIIC, polypeptide 3"	Gtf3c3 AL022818	Mus musculus (Mouse)	882
Q8CH18	Q8CH18	Cell division cycle and apoptosis regulator protein 1 (Cell cycle and apoptosis regulatory protein 1) (CARP-1)	Ccar1 Carp1	Mus musculus (Mouse)	1146
Q8K0D5	Q8K0D5	"Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)"	Gfm1 Efg Efg1 Gfm	Mus musculus (Mouse)	751
O89017	O89017	"Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)"	Lgmn Prsc1	Mus musculus (Mouse)	435
Q922P8	Q922P8	Transmembrane protein 132A (HSPA5-binding protein 1)	Tmem132a Kiaa1583	Mus musculus (Mouse)	1018
P63017	P63017	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)	Hspa8 Hsc70 Hsc73	Mus musculus (Mouse)	646
Q501J6	Q501J6	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17)	Ddx17	Mus musculus (Mouse)	650
Q9DB85	Q9DB85	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1 homolog)	Rrp8	Mus musculus (Mouse)	457
Q3UTJ2-2	Q3UTJ2	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2)	Sorbs2 Argbp2 Kiaa0777	Mus musculus (Mouse)	1180
Q6A026	Q6A026	Sister chromatid cohesion protein PDS5 homolog A	Pds5a Kiaa0648	Mus musculus (Mouse)	1332
P58281-2	P58281	"Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Large GTP-binding protein) (LargeG) (Optic atrophy protein 1 homolog) [Cleaved into: Dynamin-like 120 kDa protein, form S1]"	Opa1	Mus musculus (Mouse)	960
Q9DBG7	Q9DBG7	Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha)	Srpra Srpr	Mus musculus (Mouse)	636
Q91V41	Q91V41	Ras-related protein Rab-14	Rab14	Mus musculus (Mouse)	215
Q5NCJ1	Q5NCJ1	Rap guanine nucleotide exchange factor (GEF) 6	Rapgef6	Mus musculus (Mouse)	1609
A2A5Z6	A2A5Z6	E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	Smurf2	Mus musculus (Mouse)	748
Q9D620	Q9D620	Rab11 family-interacting protein 1 (Rab11-FIP1) (Rab-coupling protein)	Rab11fip1 Rcp	Mus musculus (Mouse)	645
Q8CIP5	Q8CIP5	Protein dispatched homolog 2	Disp2 Kiaa1742	Mus musculus (Mouse)	1345
P97348	P97348	Rho-related GTP-binding protein RhoD	Rhod Arhd Rhom	Mus musculus (Mouse)	210
Q9R0B9	Q9R0B9	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)"	Plod2	Mus musculus (Mouse)	737
Q8BIG7	Q8BIG7	Catechol O-methyltransferase domain-containing protein 1 (EC 2.1.1.-)	Comtd1	Mus musculus (Mouse)	262
Q8CGC6	Q8CGC6	RNA-binding protein 28 (RNA-binding motif protein 28)	Rbm28	Mus musculus (Mouse)	750
Q6Y7W8	Q6Y7W8	GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein)	Gigyf2 Kiaa0642 Perq2 Tnrc15	Mus musculus (Mouse)	1291
P70372	P70372	ELAV-like protein 1 (Elav-like generic protein) (Hu-antigen R) (HuR) (MelG)	Elavl1 Elra Hua	Mus musculus (Mouse)	326
Q5SS80	Q5SS80	Dehydrogenase/reductase SDR family member 13 (EC 1.1.-.-) (Short chain dehydrogenase/reductase family 7C member 5) (Protein SDR7C5)	Dhrs13 Sdr7c5	Mus musculus (Mouse)	376
Q80X90	Q80X90	Filamin-B (FLN-B) (ABP-280-like protein) (Actin-binding-like protein) (Beta-filamin)	Flnb	Mus musculus (Mouse)	2602
Q6PCX9	Q6PCX9	E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37)	Trim37 Kiaa0898	Mus musculus (Mouse)	961
A2AQ25	A2AQ25	Sickle tail protein (Enhancer trap locus 4)	Skt Etl4 Kiaa1217	Mus musculus (Mouse)	1946
Q8BKE6	Q8BKE6	Cytochrome P450 20A1 (EC 1.14.-.-)	Cyp20a1	Mus musculus (Mouse)	462
Q3TDD9	Q3TDD9	Protein phosphatase 1 regulatory subunit 21 (Coiled-coil domain-containing protein 128) (KLRAQ motif-containing protein 1)	Ppp1r21 Ccdc128 Klraq1	Mus musculus (Mouse)	780
Q91VD9	Q91VD9	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)"	Ndufs1	Mus musculus (Mouse)	727
Q9D4V7	Q9D4V7	Rab-like protein 3	Rabl3	Mus musculus (Mouse)	236
Q6P5H2	Q6P5H2	Nestin	Nes	Mus musculus (Mouse)	1864
Q9R1X4	Q9R1X4	Protein timeless homolog (mTim)	Timeless Tim1 Timeless1	Mus musculus (Mouse)	1197
P46460	P46460	Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Suppressor of K(+) transport growth defect 2) (Protein SKD2) (Vesicular-fusion protein NSF)	Nsf Skd2	Mus musculus (Mouse)	744
Q8R2U0	Q8R2U0	Nucleoporin SEH1 (GATOR complex protein SEH1) (Nup107-160 subcomplex subunit SEH1)	Seh1l	Mus musculus (Mouse)	360
Q9R194	Q9R194	Cryptochrome-2	Cry2 Kiaa0658	Mus musculus (Mouse)	592
Q9D287	Q9D287	Pre-mRNA-splicing factor SPF27 (Breast carcinoma-amplified sequence 2 homolog) (DNA amplified in mammary carcinoma 1 protein)	Bcas2 Dam1	Mus musculus (Mouse)	225
Q9JMK2	Q9JMK2	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	Csnk1e	Mus musculus (Mouse)	416
O08856	O08856	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)	Ell	Mus musculus (Mouse)	602
Q8BLF1	Q8BLF1	Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Acetylalkylglycerol acetylhydrolase) (2-acetyl MAGE hydrolase) (EC 3.1.1.71) (Arylacetamide deacetylase-like 1) (Chlorpyrifos oxon-binding protein) (CPO-BP)	Nceh1 Aadacl1 Kiaa1363	Mus musculus (Mouse)	408
P59110	P59110	Sentrin-specific protease 1 (EC 3.4.22.-) (SUMO-1 protease 2) (SuPr-2) (Sentrin/SUMO-specific protease SENP1)	Senp1 Supr2	Mus musculus (Mouse)	640
Q99KI3	Q99KI3	ER membrane protein complex subunit 3 (Transmembrane protein 111)	Emc3 Tmem111	Mus musculus (Mouse)	261
Q9JJF9	Q9JJF9	Signal peptide peptidase-like 2A (SPP-like 2A) (SPPL2a) (EC 3.4.23.-) (Intramembrane protease 3) (IMP-3) (Presenilin-like protein 2)	Sppl2a Imp3 Psl2 MNCb-3763	Mus musculus (Mouse)	523
P42125	P42125	"Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)"	Eci1 Dci	Mus musculus (Mouse)	289
Q7TN12	Q7TN12	Innate immunity activator protein	Inava	Mus musculus (Mouse)	663
P84089	P84089	Enhancer of rudimentary homolog (Mer)	Erh	Mus musculus (Mouse)	104
P51660	P51660	"Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]"	Hsd17b4 Edh17b4	Mus musculus (Mouse)	735
Q9JK23	Q9JK23	Proteasome assembly chaperone 1 (Down syndrome critical region protein 2 homolog)	Psmg1 Dscr2	Mus musculus (Mouse)	289
P97807	P97807	"Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2) (EF-3)"	Fh Fh1	Mus musculus (Mouse)	507
G5E8B1	G5E8B1	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48)	Ptpn13	Mus musculus (Mouse)	2451
Q8CEE7	Q8CEE7	Retinol dehydrogenase 13 (EC 1.1.1.300)	Rdh13	Mus musculus (Mouse)	334
Q3UKU4	Q3UKU4	Protein FAM83F	Fam83f	Mus musculus (Mouse)	495
Q922J9-4	Q922J9	Fatty acyl-CoA reductase 1 (EC 1.2.1.84)	Far1	Mus musculus (Mouse)	515
O55022	O55022	Membrane-associated progesterone receptor component 1 (mPR)	Pgrmc1 Pgrmc	Mus musculus (Mouse)	195
E9Q3G8	E9Q3G8	Nucleoporin 153	Nup153	Mus musculus (Mouse)	1462
Q5H8C4	Q5H8C4	Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein homolog) (Chorein) (Vacuolar protein sorting-associated protein 13A)	Vps13a Chac Kiaa0986	Mus musculus (Mouse)	3166
Q8BFW7	Q8BFW7	Lipoma-preferred partner homolog	Lpp	Mus musculus (Mouse)	613
P16382	P16382	Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124) [Cleaved into: Soluble interleukin-4 receptor subunit alpha (Soluble IL-4 receptor subunit alpha) (Soluble IL-4R-alpha) (sIL4Ralpha/prot) (IL-4-binding protein) (IL4-BP)]	Il4r Il4ra	Mus musculus (Mouse)	810
P51881	P51881	"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]"	Slc25a5 Aac2 Ant2	Mus musculus (Mouse)	298
A2APV2	A2APV2	Formin-like protein 2 (Protein Man)	Fmnl2 Kiaa1902 Man	Mus musculus (Mouse)	1086
Q7TQD7	Q7TQD7	Myo1b protein (Unconventional myosin-Ib)	Myo1b	Mus musculus (Mouse)	1136
Q8BT07	Q8BT07	Centrosomal protein of 55 kDa (Cep55)	Cep55	Mus musculus (Mouse)	462
Q3URD3	Q3URD3	Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein)	Slmap Kiaa1601 Slap	Mus musculus (Mouse)	845
