Entry	Add	Entry name	Status	Protein names	Gene names	Organism	Length
A0A1D5RM05	1	A0A1D5RM05_MOUSE	unreviewed	Dynein regulatory complex subunit 4 (Growth arrest-specific protein 8)	Gas8	Mus musculus (Mouse)	469
A0A571BF93	1	A0A571BF93_MOUSE	unreviewed	Microtubule-actin cross-linking factor 1	Macf1	Mus musculus (Mouse)	5323
A3KFU8	1	A3KFU8_MOUSE	unreviewed	Polyadenylate-binding protein (PABP)	Pabpc4	Mus musculus (Mouse)	644
E9Q4W5	1	E9Q4W5_MOUSE	unreviewed	Heterogeneous nuclear ribonucleoprotein D0	Hnrnpd	Mus musculus (Mouse)	86
A0A0G2JGC4	1	A0A0G2JGC4_MOUSE	unreviewed	Protein BCAP (Fragment)	Odf2l	Mus musculus (Mouse)	203
Q9CS73	1	Q9CS73_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Akap9	Mus musculus (Mouse)	300
A0A0A6YW57	1	A0A0A6YW57_MOUSE	unreviewed	Exosome complex component RRP4 (Fragment)	Exosc2	Mus musculus (Mouse)	74
S4R2U7	1	S4R2U7_MOUSE	unreviewed	CUGBP Elav-like family member 2	Celf2	Mus musculus (Mouse)	460
S4R240	1	S4R240_MOUSE	unreviewed	G1/S-specific cyclin-D3 (Fragment)	Ccnd3	Mus musculus (Mouse)	214
Q3TIK5	1	Q3TIK5_MOUSE	unreviewed	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3 gamma) (eIF3 p40 subunit)	Eif3h EIF3H EIF3S3	Mus musculus (Mouse)	352
D5M8I5	1	D5M8I5_MOUSE	unreviewed	Rho GTPase-activating protein 7 (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StAR-related lipid transfer protein 12)	Dlc1	Mus musculus (Mouse)	1543
D3Z7B6	1	D3Z7B6_MOUSE	unreviewed	Suppressor of fused homolog	Sufu	Mus musculus (Mouse)	467
Q8BQK4	1	Q8BQK4_MOUSE	unreviewed	Apoptosis regulator Bcl-2	Bcl2	Mus musculus (Mouse)	236
A0A1W2P737	1	A0A1W2P737_MOUSE	unreviewed	Pericentrin	Pcnt	Mus musculus (Mouse)	2898
Q9CRF7	1	Q9CRF7_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Srp19	Mus musculus (Mouse)	135
Q497N0	1	Q497N0_MOUSE	unreviewed	"Chaperonin containing Tcp1, subunit 6b (Zeta)"	Cct6b	Mus musculus (Mouse)	531
A2ASC6	1	A2ASC6_MOUSE	unreviewed	Rae1 protein homolog (mRNA-associated protein mrnp 41) (Fragment)	Rae1	Mus musculus (Mouse)	203
E9Q6L0	1	E9Q6L0_MOUSE	unreviewed	CLIP-associating protein 1	Clasp1	Mus musculus (Mouse)	1452
A0A087WP87	1	A0A087WP87_MOUSE	unreviewed	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (Fragment)	Rnf2	Mus musculus (Mouse)	211
Q3UJN2	1	Q3UJN2_MOUSE	unreviewed	RuvB-like helicase (EC 3.6.4.12)	Ruvbl1	Mus musculus (Mouse)	456
Q3UAC2	1	Q3UAC2_MOUSE	unreviewed	40S ribosomal protein S3a	Rps3a1 RPS3A	Mus musculus (Mouse)	264
A0A0N4SUH6	1	A0A0N4SUH6_MOUSE	unreviewed	RNA-binding protein 8A	Rbm8a2	Mus musculus (Mouse)	174
Q8BW08	1	Q8BW08_MOUSE	unreviewed	Glycerol kinase (EC 2.7.1.30) (Fragment)	Gk2	Mus musculus (Mouse)	535
A0A338P769	1	A0A338P769_MOUSE	unreviewed	Septin	Septin5 Sept5	Mus musculus (Mouse)	378
D3Z0Y4	1	D3Z0Y4_MOUSE	unreviewed	Actin-binding LIM protein 2	Ablim2	Mus musculus (Mouse)	346
S4R1S2	1	S4R1S2_MOUSE	unreviewed	Ankyrin-3	Ank3	Mus musculus (Mouse)	1807
F8WJB9	1	F8WJB9_MOUSE	unreviewed	Ena/VASP-like protein (Ena/vasodilator-stimulated phosphoprotein-like)	Evl	Mus musculus (Mouse)	399
A0A0R4J171	1	A0A0R4J171_MOUSE	unreviewed	Rho GTPase-activating protein 7 (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StAR-related lipid transfer protein 12)	Dlc1	Mus musculus (Mouse)	1126
Q8BKU2	1	Q8BKU2_MOUSE	unreviewed	26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (Proteasome 26S subunit ATPase 4)	Psmc4	Mus musculus (Mouse)	418
D6RE33	1	D6RE33_MOUSE	unreviewed	Enhancer of mRNA-decapping protein 4	Edc4	Mus musculus (Mouse)	1318
A0A087WPX1	1	A0A087WPX1_MOUSE	unreviewed	N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase) (Fragment)	Acy1	Mus musculus (Mouse)	219
A0A0A6YW28	1	A0A0A6YW28_MOUSE	unreviewed	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	Usp4	Mus musculus (Mouse)	915
Q3U7K1	1	Q3U7K1_MOUSE	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	Ppp1cc	Mus musculus (Mouse)	323
D3Z228	1	D3Z228_MOUSE	unreviewed	RBPJ-interacting and tubulin-associated protein 1 (RBPJ-interacting and tubulin-associated protein)	Rita1 1110008J03Rik	Mus musculus (Mouse)	103
B2RQF4	1	B2RQF4_MOUSE	unreviewed	Phospholipase A2 (EC 3.1.1.4)	Pla2g4e	Mus musculus (Mouse)	874
A0A286YE25	1	A0A286YE25_MOUSE	unreviewed	Spastin (EC 5.6.1.1)	Spast SPAST SPG4	Mus musculus (Mouse)	613
A2A5J5	1	A2A5J5_MOUSE	unreviewed	Neuralized-like protein 2	Neurl2	Mus musculus (Mouse)	285
Q762C5	1	Q762C5_MOUSE	unreviewed	Calpain-3 (EC 3.4.22.54)	Capn3 Ganc	Mus musculus (Mouse)	653
A2AA71	1	A2AA71_MOUSE	unreviewed	Protein transport protein Sec24A	Sec24a	Mus musculus (Mouse)	1089
B1B1B8	1	B1B1B8_MOUSE	unreviewed	Phosphatase and actin regulator	Phactr1	Mus musculus (Mouse)	557
D3Z3D5	1	D3Z3D5_MOUSE	unreviewed	Protein Shroom1	Shroom1	Mus musculus (Mouse)	715
Q3T9V8	1	Q3T9V8_MOUSE	unreviewed	Dynactin subunit 1	Dctn1	Mus musculus (Mouse)	1239
Q3TBE0	1	Q3TBE0_MOUSE	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	Rock1	Mus musculus (Mouse)	516
Q8C909	1	Q8C909_MOUSE	unreviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	Adss Adss2	Mus musculus (Mouse)	225
A0A571BEU1	1	A0A571BEU1_MOUSE	unreviewed	Tropomyosin alpha-4 chain	Tpm4	Mus musculus (Mouse)	158
Q640Q9	1	Q640Q9_MOUSE	unreviewed	Hermansky-Pudlak syndrome 5 protein homolog	Hps5	Mus musculus (Mouse)	1093
Q8R2X3	1	Q8R2X3_MOUSE	unreviewed	Gamma-tubulin complex component	Tubgcp5	Mus musculus (Mouse)	690
Q9CYD1	1	Q9CYD1_MOUSE	unreviewed	Chloride intracellular channel protein	Clic5	Mus musculus (Mouse)	243
Q8CH89	1	Q8CH89_MOUSE	unreviewed	Outer dense fiber-2 (Fragment)		Mus musculus (Mouse)	149
Q9ET42	1	Q9ET42_MOUSE	unreviewed	ERIC1	Tacc3 Eric1	Mus musculus (Mouse)	558
Q3UXC8	1	Q3UXC8_MOUSE	unreviewed	RRM domain-containing protein (Fragment)	Hnrnpd Hnrpd	Mus musculus (Mouse)	194
H3BKW0	1	H3BKW0_MOUSE	unreviewed	Cleavage and polyadenylation-specificity factor subunit 6 (Fragment)	Cpsf6	Mus musculus (Mouse)	182
A0A0R4J031	1	A0A0R4J031_MOUSE	unreviewed	E3 ubiquitin-protein ligase TRIM35	Trim35	Mus musculus (Mouse)	516
H8ZX79	1	H8ZX79_MOUSE	unreviewed	Sex-determining region Y protein (Testis-determining factor) (Fragment)	Sry	Mus musculus (Mouse)	317
A2ANA0	1	A2ANA0_MOUSE	unreviewed	Protein transport protein SEC23 (Fragment)	Sec23b	Mus musculus (Mouse)	278
E9PVY8	1	E9PVY8_MOUSE	unreviewed	Microtubule-actin cross-linking factor 1	Macf1	Mus musculus (Mouse)	7355
Q3TU94	1	Q3TU94_MOUSE	unreviewed	Uncharacterized protein	Trim25	Mus musculus (Mouse)	601
A0A3Q4EGQ4	1	A0A3Q4EGQ4_MOUSE	unreviewed	cDNA sequence BC004004	BC004004	Mus musculus (Mouse)	99
D6RH72	1	D6RH72_MOUSE	unreviewed	Testin (Fragment)	Tes	Mus musculus (Mouse)	79
F6RPD4	1	F6RPD4_MOUSE	unreviewed	Phosphorylated adapter RNA export protein (RNA U small nuclear RNA export adapter protein) (Fragment)	Phax	Mus musculus (Mouse)	251
Q8CC95	1	Q8CC95_MOUSE	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1) (Fragment)	Rock2	Mus musculus (Mouse)	432
A0A494BBK6	1	A0A494BBK6_MOUSE	unreviewed	CUE domain-containing protein 2 (Fragment)	Cuedc2	Mus musculus (Mouse)	195
Q5NCK8	1	Q5NCK8_MOUSE	unreviewed	Stress-activated protein kinase JNK (EC 2.7.11.24)	Mapk9	Mus musculus (Mouse)	423
E9Q0J5	1	E9Q0J5_MOUSE	unreviewed	Kinesin-like protein KIF21A	Kif21a	Mus musculus (Mouse)	1672
A0A0R4J065	1	A0A0R4J065_MOUSE	unreviewed	Cysteine protease (EC 3.4.22.-)	Atg4b	Mus musculus (Mouse)	393
A0A140LIC9	1	A0A140LIC9_MOUSE	unreviewed	Protein fuzzy homolog	Fuz	Mus musculus (Mouse)	387
Q80W82	1	Q80W82_MOUSE	unreviewed	Stress-activated protein kinase JNK (EC 2.7.11.24)	Mapk10 JNK3A1	Mus musculus (Mouse)	422
A0A1L1SQA7	1	A0A1L1SQA7_MOUSE	unreviewed	CCR4-NOT transcription complex subunit 10	Cnot10	Mus musculus (Mouse)	289
A2A841	1	A2A841_MOUSE	unreviewed	Protein 4.1 (Band 4.1) (Erythrocyte membrane protein band 4.1)	Epb41 Epb4.1	Mus musculus (Mouse)	869
Q8R387	1	Q8R387_MOUSE	unreviewed	Aldehyde oxidase (EC 1.2.3.1)	Aox1	Mus musculus (Mouse)	1333
H8ZX63	1	H8ZX63_MOUSE	unreviewed	Sex-determining region Y protein (Testis-determining factor) (Fragment)	Sry	Mus musculus (Mouse)	306
A0A0R4J146	1	A0A0R4J146_MOUSE	unreviewed	5'-nucleotidase (EC 3.1.3.5)	Nt5c3b	Mus musculus (Mouse)	257
D3Z124	1	D3Z124_MOUSE	unreviewed	DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.-.-) (Fragment)	Apex1	Mus musculus (Mouse)	177
S4R2J2	1	S4R2J2_MOUSE	unreviewed	CUGBP Elav-like family member 2 (Fragment)	Celf2	Mus musculus (Mouse)	92
B9EHS3	1	B9EHS3_MOUSE	unreviewed	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.21) (EC 2.7.4.24)	Ppip5k1 Hisppd2a	Mus musculus (Mouse)	1486
B1ATD4	1	B1ATD4_MOUSE	unreviewed	Phosphatidylinositol-3-phosphate phosphatase (EC 3.1.3.48) (EC 3.1.3.64) (Fragment)	Mtmr3	Mus musculus (Mouse)	1167
Q8CBT3	1	Q8CBT3_MOUSE	unreviewed	Inhibitor of nuclear factor kappa-B kinase subunit alpha (EC 2.7.11.10) (Nuclear factor NF-kappa-B inhibitor kinase alpha)	Chuk	Mus musculus (Mouse)	745
D3YYK7	1	D3YYK7_MOUSE	unreviewed	Probable 18S rRNA (guanine-N(7))-methyltransferase	Bud23 Wbscr22	Mus musculus (Mouse)	246
Q5NBZ7	1	Q5NBZ7_MOUSE	unreviewed	Eukaryotic translation initiation factor 4E transporter (Fragment)	Eif4enif1	Mus musculus (Mouse)	194
Q3V3W8	1	Q3V3W8_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Macf1	Mus musculus (Mouse)	551
E9Q3M3	1	E9Q3M3_MOUSE	unreviewed	Dynactin subunit 1	Dctn1	Mus musculus (Mouse)	1264
Q9CRR7	1	Q9CRR7_MOUSE	unreviewed	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member) (Fragment)	Smad5	Mus musculus (Mouse)	377
Q3V424	1	Q3V424_MOUSE	unreviewed	Small nuclear ribonucleoprotein G (snRNP-G)	Snrpg	Mus musculus (Mouse)	64
A0AUV3	1	A0AUV3_MOUSE	unreviewed	Chuk protein (Fragment)	Chuk	Mus musculus (Mouse)	306
Q3UNN1	1	Q3UNN1_MOUSE	unreviewed	Septin	Septin7 Sept7	Mus musculus (Mouse)	418
D3YVA6	1	D3YVA6_MOUSE	unreviewed	Leucine-rich repeat-containing protein 51	Lrrc51	Mus musculus (Mouse)	159
D3Z7P0	1	D3Z7P0_MOUSE	unreviewed	BRISC and BRCA1-A complex member 2	Babam2 Bre	Mus musculus (Mouse)	385
Q8CDL2	1	Q8CDL2_MOUSE	unreviewed	PACT_coil_coil domain-containing protein (Fragment)	Pcnt Pcnt2	Mus musculus (Mouse)	1512
Z4YM47	1	Z4YM47_MOUSE	unreviewed	Cilia- and flagella-associated protein 206 (Fragment)	Cfap206 1700003M02Rik	Mus musculus (Mouse)	210
G5E8K2	1	G5E8K2_MOUSE	unreviewed	Ankyrin-3	Ank3	Mus musculus (Mouse)	1940
G3UXB4	1	G3UXB4_MOUSE	unreviewed	Cytoplasmic tRNA 2-thiolation protein 2	Ctu2 CTU2 NCS2	Mus musculus (Mouse)	410
A0A5F8MPP7	1	A0A5F8MPP7_MOUSE	unreviewed	SH3 and PX domain-containing protein 2B	Sh3pxd2b	Mus musculus (Mouse)	936
Q8BTX5	1	Q8BTX5_MOUSE	unreviewed	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3 gamma) (eIF3 p40 subunit)	Eif3h EIF3H EIF3S3	Mus musculus (Mouse)	352
Q571F9	1	Q571F9_MOUSE	unreviewed	MKIAA4115 protein (Fragment)	G3bp1 G3bp mKIAA4115	Mus musculus (Mouse)	505
A0A1L1SUB9	1	A0A1L1SUB9_MOUSE	unreviewed	Centrosomal protein of 63 kDa (Fragment)	Cep63	Mus musculus (Mouse)	181
Q2T9H0	1	Q2T9H0_MOUSE	unreviewed	Sex-determining region Y protein (Testis-determining factor)	Sry	Mus musculus (Mouse)	374
H8ZX99	1	H8ZX99_MOUSE	unreviewed	Sex-determining region Y protein (Testis-determining factor) (Fragment)	Sry	Mus musculus (Mouse)	303
Q3TN29	1	Q3TN29_MOUSE	unreviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase 1)	Pnpt1	Mus musculus (Mouse)	783
Q3T9W4	1	Q3T9W4_MOUSE	unreviewed	Bcl-2-like protein 1 (Apoptosis regulator Bcl-X)	Bcl2l1	Mus musculus (Mouse)	233
B2RPW6	1	B2RPW6_MOUSE	unreviewed	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	Smad7	Mus musculus (Mouse)	426
G3UXZ2	1	G3UXZ2_MOUSE	unreviewed	Transformation-related protein 53-inducible nuclear protein 2 (Fragment)	Trp53inp2	Mus musculus (Mouse)	170
F8SLP7	1	F8SLP7_MOUSE	unreviewed	Peroxisomal biogenesis factor 5-like protein transcript variant 3	Pex5l	Mus musculus (Mouse)	591
Q811W8	1	Q811W8_MOUSE	unreviewed	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	Smad4	Mus musculus (Mouse)	545
F6Y325	1	F6Y325_MOUSE	unreviewed	Outer dense fiber protein 2 (Fragment)	Odf2	Mus musculus (Mouse)	271
A2AP89	1	A2AP89_MOUSE	unreviewed	Vinculin/alpha-catenin family member 1	Vinac1 Gm14025	Mus musculus (Mouse)	1413
Q7M6Z9	1	Q7M6Z9_MOUSE	unreviewed	Kinesin light chain	Klc1 Kns2	Mus musculus (Mouse)	606
A0A3Q4EGP5	1	A0A3Q4EGP5_MOUSE	unreviewed	cDNA sequence BC004004 (Fragment)	BC004004	Mus musculus (Mouse)	96
F8WH02	1	F8WH02_MOUSE	unreviewed	Proteasome subunit alpha type-3	Psma3	Mus musculus (Mouse)	40
F6Z1I1	1	F6Z1I1_MOUSE	unreviewed	Exportin-6 (Fragment)	Xpo6	Mus musculus (Mouse)	142
A0A1L1SUS8	1	A0A1L1SUS8_MOUSE	unreviewed	Centrosomal protein of 63 kDa (Fragment)	Cep63	Mus musculus (Mouse)	139
D3YVD1	1	D3YVD1_MOUSE	unreviewed	Pleckstrin homology domain-containing family O member 1 (Fragment)	Plekho1	Mus musculus (Mouse)	124
A0A5F8MPL6	1	A0A5F8MPL6_MOUSE	unreviewed	Neuronal-specific septin-3	Septin3	Mus musculus (Mouse)	818
A0A0A6YWG7	1	A0A0A6YWG7_MOUSE	unreviewed	Rap guanine nucleotide exchange factor 2 (Cyclic nucleotide ras GEF) (Neural RAP guanine nucleotide exchange protein) (PDZ domain-containing guanine nucleotide exchange factor 1) (RA-GEF-1) (Ras/Rap1-associating GEF-1)	Rapgef2	Mus musculus (Mouse)	1644
A0A286YD84	1	A0A286YD84_MOUSE	unreviewed	Band 4.1-like protein 3 (Fragment)	Epb41l3	Mus musculus (Mouse)	605
A0A2R8VKN7	1	A0A2R8VKN7_MOUSE	unreviewed	Mitotic-spindle organizing protein 2	Mzt2	Mus musculus (Mouse)	152
E3SRH0	1	E3SRH0_MOUSE	unreviewed	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	Smad4	Mus musculus (Mouse)	465
Q3TJI3	1	Q3TJI3_MOUSE	unreviewed	Uncharacterized protein	Cyld	Mus musculus (Mouse)	770
Q3UGD2	1	Q3UGD2_MOUSE	unreviewed	Microcephalin	Mcph1	Mus musculus (Mouse)	600
Q8BP77	1	Q8BP77_MOUSE	unreviewed	Uncharacterized protein	Dsp	Mus musculus (Mouse)	482
Q8BQH1	1	Q8BQH1_MOUSE	unreviewed	Golgi apparatus protein 1 (Fragment)	Glg1	Mus musculus (Mouse)	180
Q6NZC1	1	Q6NZC1_MOUSE	unreviewed	Ipo5 protein (Fragment)	Ipo5 Ranbp5	Mus musculus (Mouse)	396
Q8BPL8	1	Q8BPL8_MOUSE	unreviewed	tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.211)	Trmt44 2310079F23Rik	Mus musculus (Mouse)	201
F7B303	1	F7B303_MOUSE	unreviewed	LisH domain-containing protein ARMC9 (Fragment)	Armc9	Mus musculus (Mouse)	254
G3X9G4	1	G3X9G4_MOUSE	unreviewed	Dynamin GTPase (EC 3.6.5.5)	Dnm2	Mus musculus (Mouse)	870
F6Y2I6	1	F6Y2I6_MOUSE	unreviewed	Exportin-6 (Fragment)	Xpo6	Mus musculus (Mouse)	132
Q3UNP9	1	Q3UNP9_MOUSE	unreviewed	Proteasome subunit beta	Psmb10	Mus musculus (Mouse)	273
A0A2I3BQV5	1	A0A2I3BQV5_MOUSE	unreviewed	Exportin-7	Xpo7	Mus musculus (Mouse)	1088
Q3UHM0	1	Q3UHM0_MOUSE	unreviewed	Platelet-activating factor acetylhydrolase IB subunit alpha (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	Pafah1b1 LIS1 PAFAH1B1	Mus musculus (Mouse)	391
G3X9Y5	1	G3X9Y5_MOUSE	unreviewed	Ubiquitin conjugation factor E4 A	Ube4a	Mus musculus (Mouse)	1085
A0A1S7D812	1	A0A1S7D812_MOUSE	unreviewed	Exosome complex component CSL4 short isoform (Fragment)	Exosc1	Mus musculus (Mouse)	164
A0A3Q4L2W7	1	A0A3Q4L2W7_MOUSE	unreviewed	cDNA sequence BC004004 (Fragment)	BC004004	Mus musculus (Mouse)	220
A0A5F8MPZ2	1	A0A5F8MPZ2_MOUSE	unreviewed	Kinesin light chain	Klc1	Mus musculus (Mouse)	637
Q7M6Z7	1	Q7M6Z7_MOUSE	unreviewed	Kinesin light chain	Klc1 Kns2	Mus musculus (Mouse)	559
D3YZN3	1	D3YZN3_MOUSE	unreviewed	Macrophage-capping protein (Actin regulatory protein CAP-G) (Fragment)	Capg	Mus musculus (Mouse)	173
S4R286	1	S4R286_MOUSE	unreviewed	Ankyrin repeat and sterile alpha motif domain-containing protein 1B	Anks1b	Mus musculus (Mouse)	1259
Q546F8	1	Q546F8_MOUSE	unreviewed	Ribosomal RNA-processing protein 43	Exosc8 CIP3	Mus musculus (Mouse)	276
H8ZX59	1	H8ZX59_MOUSE	unreviewed	Sex-determining region Y protein (Testis-determining factor) (Fragment)	Sry	Mus musculus (Mouse)	315
A0A0R4J093	1	A0A0R4J093_MOUSE	unreviewed	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	Cmpk1 CMPK CMPK1	Mus musculus (Mouse)	227
E9Q827	1	E9Q827_MOUSE	unreviewed	cAMP-regulated phosphoprotein 19	Arpp19	Mus musculus (Mouse)	145
A0A286YDY4	1	A0A286YDY4_MOUSE	unreviewed	Band 4.1-like protein 3 (Fragment)	Epb41l3	Mus musculus (Mouse)	852
A0A5F8MPN4	1	A0A5F8MPN4_MOUSE	unreviewed	F-actin monooxygenase (EC 1.14.13.225)	Mical3	Mus musculus (Mouse)	2014
J3QNK8	1	J3QNK8_MOUSE	unreviewed	Abl interactor 1	Abi1	Mus musculus (Mouse)	481
Q6A060	1	Q6A060_MOUSE	unreviewed	MKIAA0482 protein (Fragment)	Per1 mKIAA0482	Mus musculus (Mouse)	1331
Q4U105	1	Q4U105_MOUSE	unreviewed	NF-kB2 splice variant 4	Nfkb2	Mus musculus (Mouse)	900
E9QPP6	1	E9QPP6_MOUSE	unreviewed	Ankyrin repeat and sterile alpha motif domain-containing protein 1B	Anks1b	Mus musculus (Mouse)	460
Q8C2S9	1	Q8C2S9_MOUSE	unreviewed	Major vault protein	Mvp	Mus musculus (Mouse)	870
A0A1D5RMC1	1	A0A1D5RMC1_MOUSE	unreviewed	Dynein light intermediate chain (Fragment)	Dync1li2	Mus musculus (Mouse)	406
A0A0R4J0C8	1	A0A0R4J0C8_MOUSE	unreviewed	3'-5' exoribonuclease 1	Eri1	Mus musculus (Mouse)	345
Q99KF5	1	Q99KF5_MOUSE	unreviewed	Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	Hprt Hprt1	Mus musculus (Mouse)	218
Q9EQ58	1	Q9EQ58_MOUSE	unreviewed	Involucrin (Fragment)		Mus musculus (Mouse)	294
F8VQ28	1	F8VQ28_MOUSE	unreviewed	Paxillin	Pxn	Mus musculus (Mouse)	591
E9Q9C0	1	E9Q9C0_MOUSE	unreviewed	Actin-binding LIM protein 1	Ablim1	Mus musculus (Mouse)	714
Q6PB99	1	Q6PB99_MOUSE	unreviewed	Ena/VASP-like protein (Ena/vasodilator-stimulated phosphoprotein-like)	Evl	Mus musculus (Mouse)	393
A0A1B0GT83	1	A0A1B0GT83_MOUSE	unreviewed	Nucleobindin-1 (Fragment)	Nucb1	Mus musculus (Mouse)	121
Q5XW59	1	Q5XW59_MOUSE	unreviewed	Death domain-associated protein 6 (Daxx) (Fragment)	Daxx	Mus musculus (Mouse)	651
A0A0J9YV56	1	A0A0J9YV56_MOUSE	unreviewed	BRISC and BRCA1-A complex member 2 (Fragment)	Babam2 Bre	Mus musculus (Mouse)	63
K4DI65	1	K4DI65_MOUSE	unreviewed	Cold-inducible RNA-binding protein (Glycine-rich RNA-binding protein CIRP)	Cirbp	Mus musculus (Mouse)	168
Q0VER3	1	Q0VER3_MOUSE	unreviewed	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	Smad9	Mus musculus (Mouse)	428
A0A6I8MX18	1	A0A6I8MX18_MOUSE	unreviewed	Protein argonaute-1	Ago1	Mus musculus (Mouse)	895
Q91VM2	1	Q91VM2_MOUSE	unreviewed	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	Snrpd3 SNRPD3	Mus musculus (Mouse)	126
A2A5Y6	1	A2A5Y6_MOUSE	unreviewed	Microtubule-associated protein	Mapt	Mus musculus (Mouse)	749
Q3UKN2	1	Q3UKN2_MOUSE	unreviewed	p53 and DNA damage-regulated protein 1	Pdrg1	Mus musculus (Mouse)	133
E9Q456	1	E9Q456_MOUSE	unreviewed	Tropomyosin alpha-1 chain	Tpm1	Mus musculus (Mouse)	248
A0A3B2W4H6	1	A0A3B2W4H6_MOUSE	unreviewed	Ankyrin repeat and SAM domain containing 1 (Fragment)	Anks1	Mus musculus (Mouse)	433
A0A140LJJ5	1	A0A140LJJ5_MOUSE	unreviewed	A-kinase anchor protein 13	Akap13	Mus musculus (Mouse)	2794
B1AZ46	1	B1AZ46_MOUSE	unreviewed	Brain-specific angiogenesis inhibitor 1-associated protein 2	Baiap2	Mus musculus (Mouse)	521
A0A6G6A824	1	A0A6G6A824_MOUSE	unreviewed	"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Phosphatase and tensin homolog)"	Pten	Mus musculus (Mouse)	475
A0A286YDI4	1	A0A286YDI4_MOUSE	unreviewed	Rho guanine nucleotide exchange factor 28	Arhgef28	Mus musculus (Mouse)	1324
E0CYR4	1	E0CYR4_MOUSE	unreviewed	Centrosomal protein of 63 kDa (Fragment)	Cep63	Mus musculus (Mouse)	88
B2RR42	1	B2RR42_MOUSE	unreviewed	DAZ interacting protein 1-like	Dzip1l	Mus musculus (Mouse)	774
Q920R8	1	Q920R8_MOUSE	unreviewed	Calpain-3 (EC 3.4.22.54) (Fragment)		Mus musculus (Mouse)	44
Q8CA54	1	Q8CA54_MOUSE	unreviewed	Coronin	Coro7	Mus musculus (Mouse)	288
Q9CVC1	1	Q9CVC1_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Akap9	Mus musculus (Mouse)	248
A0A0E4HJ81	1	A0A0E4HJ81_MOUSE	unreviewed	Katanin p60 ATPase-containing subunit A-like 2 (Katanin p60 subunit A-like 2) (EC 5.6.1.1) (p60 katanin-like 2)	Katnal2 KATNAL2	Mus musculus (Mouse)	405
Q3UM73	1	Q3UM73_MOUSE	unreviewed	Spindle assembly abnormal protein 6 homolog	Sass6	Mus musculus (Mouse)	619
C9W8L2	1	C9W8L2_MOUSE	unreviewed	Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit) (Fragment)	Tert	Mus musculus (Mouse)	189
Q80ZV9	1	Q80ZV9_MOUSE	unreviewed	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	Smad6	Mus musculus (Mouse)	495
Q8C0E1	1	Q8C0E1_MOUSE	unreviewed	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (Phosphotyrosyl phosphatase activator)	Ptpa Ppp2r4	Mus musculus (Mouse)	323
D3Z6A7	1	D3Z6A7_MOUSE	unreviewed	Homer protein homolog 1	Homer1	Mus musculus (Mouse)	224
