From	Entry	Protein names	Gene Names	Organism	Length
Q01853	Q01853	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Vcp	Mus musculus (Mouse)	806.0
P26450	P26450	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	Pik3r1	Mus musculus (Mouse)	724.0
Q99J62	Q99J62	Replication factor C subunit 4 (Activator 1 subunit 4)	Rfc4	Mus musculus (Mouse)	364.0
Q8K202	Q8K202	DNA-directed RNA polymerase I subunit RPA49 (RNA polymerase I subunit A49) (DNA-directed RNA polymerase I subunit E) (RNA polymerase I-associated factor 1) (RNA polymerase I-associated factor 53)	Polr1e Paf53 Praf1	Mus musculus (Mouse)	482.0
F8WJD4	Q80X82	Symplekin	Sympk	Mus musculus (Mouse)	1288.0
P47911	P47911	60S ribosomal protein L6 (TAX-responsive enhancer element-binding protein 107) (TAXREB107)	Rpl6	Mus musculus (Mouse)	296.0
P14211	P14211	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP)	Calr	Mus musculus (Mouse)	416.0
Q9DB05	Q9DB05	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha)	Napa Snapa	Mus musculus (Mouse)	295.0
F8VQ29	F8VQ29	IQ motif-containing GTPase-activating protein 3	Iqgap3	Mus musculus (Mouse)	1632.0
Q8VHG0	Q8VHG0	Dimethylaniline monooxygenase [N-oxide-forming] 4 (EC 1.14.13.8) (Dimethylaniline oxidase 4) (Hepatic flavin-containing monooxygenase 4) (FMO 4)	Fmo4	Mus musculus (Mouse)	560.0
Q8VCB1	Q8VCB1	Nucleoporin NDC1 (Transmembrane protein 48)	Ndc1 Tmem48	Mus musculus (Mouse)	673.0
Q91W90	Q91W90	Thioredoxin domain-containing protein 5 (EC 1.8.4.-) (EC 5.3.4.1) (Endoplasmic reticulum resident protein 46) (ER protein 46) (ERp46) (Plasma cell-specific thioredoxin-related protein) (PC-TRP) (Thioredoxin-like protein p46)	Txndc5 Tlp46	Mus musculus (Mouse)	417.0
Q09XV5	Q09XV5	Chromodomain-helicase-DNA-binding protein 8 (CHD-8) (EC 3.6.4.12) (ATP-dependent helicase CHD8) (Axis duplication inhibitor) (Duplin)	Chd8 Kiaa1564	Mus musculus (Mouse)	2582.0
O09167	O09167	60S ribosomal protein L21	Rpl21	Mus musculus (Mouse)	160.0
Q80YR5	Q80YR5	Scaffold attachment factor B2 (SAF-B2)	Safb2	Mus musculus (Mouse)	991.0
Q8CFQ3	Q8CFQ3	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa)	Aqr Kiaa0560	Mus musculus (Mouse)	1481.0
A2ANY6	A2ANY6	Midasin	Mdn1	Mus musculus (Mouse)	5589.0
Q64729	Q64729	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (ESK2) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	Tgfbr1	Mus musculus (Mouse)	503.0
Q91VR5	Q91VR5	ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1)	Ddx1	Mus musculus (Mouse)	740.0
Q9JJY4	Q9JJY4	Probable ATP-dependent RNA helicase DDX20 (EC 3.6.1.15) (EC 3.6.4.13) (Component of gems 3) (DEAD box protein 20) (DEAD box protein DP 103) (Gemin-3) (Regulator of steroidogenic factor 1) (ROSF-1)	Ddx20 Dp103 Gemin3	Mus musculus (Mouse)	825.0
Q9D0T1	Q9D0T1	NHP2-like protein 1 (Fertilization antigen 1) (FA-1) (High mobility group-like nuclear protein 2 homolog 1) (Sperm-specific antigen 1) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	Snu13 Nhp2l1 Ssfa1	Mus musculus (Mouse)	128.0
Q9QYJ0	Q9QYJ0	DnaJ homolog subfamily A member 2 (mDj3)	Dnaja2	Mus musculus (Mouse)	412.0
Q5XJF6	Q5XJF6	Ribosomal protein	Rpl10a	Mus musculus (Mouse)	217.0
Q3UFY8	Q3UFY8	tRNA methyltransferase 10 homolog C (Mitochondrial ribonuclease P protein 1) (Mitochondrial RNase P protein 1) (RNA (guanine-9-)-methyltransferase domain-containing protein 1) (mRNA methyladenosine-N(1)-methyltransferase) (EC 2.1.1.-) (tRNA (adenine(9)-N(1))-methyltransferase) (EC 2.1.1.218) (tRNA (guanine(9)-N(1))-methyltransferase) (EC 2.1.1.221)	Trmt10c Mrpp1 Rg9mtd1	Mus musculus (Mouse)	414.0
Q62193	Q62193	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	Rpa2 Rpa34	Mus musculus (Mouse)	270.0
G5E870	G5E870	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	Trip12	Mus musculus (Mouse)	2025.0
Q5RL57	Q5RL57	A kinase (PRKA) anchor protein 8-like (A-kinase anchor protein 8-like)	Akap8l	Mus musculus (Mouse)	641.0
Q91VR2	Q91VR2	ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)	Atp5f1c Atp5c1	Mus musculus (Mouse)	298.0
Q80TN4	Q80TN4	DnaJ homolog subfamily C member 16	Dnajc16 Kiaa0962	Mus musculus (Mouse)	772.0
O54692	O54692	Centromere/kinetochore protein zw10 homolog	Zw10	Mus musculus (Mouse)	779.0
Q921M3	Q921M3	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (Spliceosome-associated protein 130) (SAP 130)	Sf3b3 Kiaa0017	Mus musculus (Mouse)	1217.0
P62855	P62855	40S ribosomal protein S26	Rps26	Mus musculus (Mouse)	115.0
Q8BQZ4	Q8BQZ4	Ral GTPase-activating protein subunit beta (p170)	Ralgapb Kiaa1219	Mus musculus (Mouse)	1484.0
Q80WQ2	Q80WQ2	Protein VAC14 homolog	Vac14 D8Wsu151e	Mus musculus (Mouse)	782.0
Q9WTP6	Q9WTP6	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	Ak2	Mus musculus (Mouse)	239.0
Q99LV7	Q99LV7	Phosphatidylinositol-glycan biosynthesis class X protein (PIG-X)	Pigx	Mus musculus (Mouse)	254.0
Q9R0E1	Q9R0E1	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]	Plod3	Mus musculus (Mouse)	741.0
E9PUQ8	E9PUQ8	Diacylglycerol kinase delta (DAG kinase delta) (EC 2.7.1.107)	Dgkd	Mus musculus (Mouse)	1220.0
Q6ZQ58	Q6ZQ58	La-related protein 1 (La ribonucleoprotein domain family member 1)	Larp1 Kiaa0731 Larp	Mus musculus (Mouse)	1072.0
D3YZK4	D3YZK4	Transcription initiation factor TFIID subunit	Taf1	Mus musculus (Mouse)	1902.0
O08908	O08908	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	Pik3r2	Mus musculus (Mouse)	722.0
Q91YP0	Q91YP0	L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2) (Duranin)	L2hgdh	Mus musculus (Mouse)	464.0
Q9DB77	Q9DB77	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)	Uqcrc2	Mus musculus (Mouse)	453.0
Q921I6	Q921I6	SH3 domain-binding protein 4	Sh3bp4	Mus musculus (Mouse)	962.0
P16332	P16332	Methylmalonyl-CoA mutase, mitochondrial (MCM) (EC 5.4.99.2) (Methylmalonyl-CoA isomerase)	Mmut Mut	Mus musculus (Mouse)	748.0
P63260	P63260	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	Actg1 Actg	Mus musculus (Mouse)	375.0
F8VQJ3	F8VQJ3	Laminin subunit gamma-1	Lamc1	Mus musculus (Mouse)	1607.0
A0A0R4J008	A0A0R4J008	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Hdac2	Mus musculus (Mouse)	488.0
Q99LR1	Q99LR1	Lysophosphatidylserine lipase ABHD12 (EC 3.1.1.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-)	Abhd12	Mus musculus (Mouse)	398.0
A2A5R2	A2A5R2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	Arfgef2 Arfgep2 Big2	Mus musculus (Mouse)	1792.0
Q61115	Q61115	Protein patched homolog 1 (PTC) (PTC1)	Ptch1 Ptch	Mus musculus (Mouse)	1434.0
Q8BX70	Q8BX70	Intermembrane lipid transfer protein VPS13C (Vacuolar protein sorting-associated protein 13C)	Vps13c Kiaa3021	Mus musculus (Mouse)	3748.0
Q9JME7	Q9JME7	Trafficking protein particle complex subunit 2-like protein	Trappc2l	Mus musculus (Mouse)	139.0
Q99M51	Q99M51	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1)	Nck1	Mus musculus (Mouse)	377.0
D3YTS1	D3YTS1	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89)	Sec11a	Mus musculus (Mouse)	247.0
Q9DCW4	Q9DCW4	Electron transfer flavoprotein subunit beta (Beta-ETF)	Etfb	Mus musculus (Mouse)	255.0
Q8BJD1	Q8BJD1	Inter-alpha-trypsin inhibitor heavy chain H5 (ITI heavy chain H5) (ITI-HC5) (Inter-alpha-inhibitor heavy chain 5)	Itih5	Mus musculus (Mouse)	952.0
Q3U2G2	Q3U2G2	Heat shock 70 kDa protein 4	Hspa4	Mus musculus (Mouse)	842.0
Q8BX57	Q8BX57	PX domain-containing protein kinase-like protein (Modulator of Na,K-ATPase) (MONaKA)	Pxk	Mus musculus (Mouse)	582.0
Q8BMP6	Q8BMP6	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7)	Acbd3 Gcp60 Pap7	Mus musculus (Mouse)	525.0
P26516	P26516	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein) (Proteasome subunit p40)	Psmd7 Mov-34 Mov34	Mus musculus (Mouse)	321.0
Q65Z40	Q65Z40	Wings apart-like protein homolog (Dioxin-inducible factor 2) (DIF-2) (WAPL cohesin release factor)	Wapl Kiaa0261 Wapal	Mus musculus (Mouse)	1200.0
Q9QZD9	Q9QZD9	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)	Eif3i Eif3s2 Trip1	Mus musculus (Mouse)	325.0
P47802	P47802	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	Mtx1 Mtx Mtxn	Mus musculus (Mouse)	317.0
P97765	P97765	WW domain-binding protein 2 (WBP-2)	Wbp2	Mus musculus (Mouse)	261.0
Q61001	Q61001	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	Lama5	Mus musculus (Mouse)	3718.0
Q8BIZ6	Q8BIZ6	Smad nuclear-interacting protein 1	Snip1	Mus musculus (Mouse)	383.0
Q9DCA5	Q9DCA5	Ribosome biogenesis protein BRX1 homolog (Brix domain-containing protein 2)	Brix1 Brix Bxdc2	Mus musculus (Mouse)	353.0
Q9WUD1	Q9WUD1	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	Stub1 Chip	Mus musculus (Mouse)	304.0
Q91Z96	Q91Z96	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	Bmp2k Bike	Mus musculus (Mouse)	1138.0
P21271-3	P21271	Unconventional myosin-Vb	Myo5b Kiaa1119	Mus musculus (Mouse)	1818.0
Q8VC42	Q8VC42	Regulator of MON1-CCZ1 complex (Colon cancer-associated protein Mic1) (Mic-1)	Rmc1 Mic1 Wdr98	Mus musculus (Mouse)	657.0
Q91YJ2	Q91YJ2	Sorting nexin-4	Snx4	Mus musculus (Mouse)	450.0
Q60598	Q60598	Src substrate cortactin	Cttn Ems1	Mus musculus (Mouse)	546.0
P52875	P52875	Transmembrane protein 165 (TPA-regulated locus protein) (Transmembrane protein PFT27) (Transmembrane protein TPARL)	Tmem165 Tparl	Mus musculus (Mouse)	323.0
Q6PHN9	Q6PHN9	Ras-related protein Rab-35	Rab35	Mus musculus (Mouse)	201.0
Q3U1J4	Q3U1J4	DNA damage-binding protein 1 (DDB p127 subunit) (Damage-specific DNA-binding protein 1) (UV-damaged DNA-binding factor)	Ddb1	Mus musculus (Mouse)	1140.0
G5E8J4	G5E8J4	Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48)	Ptpn21	Mus musculus (Mouse)	1176.0
P67871	P67871	Casein kinase II subunit beta (CK II beta) (Phosvitin)	Csnk2b Ck2n	Mus musculus (Mouse)	215.0
P21107-2	P21107	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3)	Tpm3 Tpm-5 Tpm5	Mus musculus (Mouse)	285.0
Q9R0E2	Q9R0E2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)	Plod1 Plod	Mus musculus (Mouse)	728.0
Q8BP48	Q8BP48	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)	Metap1	Mus musculus (Mouse)	386.0
Q3UHA3	Q3UHA3	Spatacsin (Spastic paraplegia 11 protein homolog)	Spg11 Kiaa1840	Mus musculus (Mouse)	2430.0
Q9WUK2	Q9WUK2	Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein homolog)	Eif4h Wbscr1	Mus musculus (Mouse)	248.0
Q8BGH7	Q8BGH7	CDC42 small effector protein 2	Cdc42se2	Mus musculus (Mouse)	84.0
O55143	O55143	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	Atp2a2	Mus musculus (Mouse)	1044.0
O35658	O35658	Complement component 1 Q subcomponent-binding protein, mitochondrial (GC1q-R protein) (Glycoprotein gC1qBP) (C1qBP)	C1qbp Gc1qbp	Mus musculus (Mouse)	278.0
Q8VE94	Q8VE94	Protein FAM110C	Fam110c	Mus musculus (Mouse)	421.0
Q99LP6	Q99LP6	GrpE protein homolog 1, mitochondrial (Mt-GrpE#1)	Grpel1	Mus musculus (Mouse)	217.0
Q8C570	Q8C570	mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)	Rae1 Mrnp41	Mus musculus (Mouse)	368.0
Q9DBE9	Q9DBE9	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	Ftsj3	Mus musculus (Mouse)	838.0
P54103	P54103	DnaJ homolog subfamily C member 2 (Mouse Id associate 1) (MIDA1) (Zuotin-related factor 1)	Dnajc2 Mida1 Zrf1	Mus musculus (Mouse)	621.0
P27641	P27641	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku autoantigen protein p86 homolog) (Ku80) (Nuclear factor IV)	Xrcc5 G22p2	Mus musculus (Mouse)	732.0
Q08093	Q08093	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin)	Cnn2	Mus musculus (Mouse)	305.0
Q8BRF7	Q8BRF7	Sec1 family domain-containing protein 1 (Syntaxin-binding protein 1-like 2)	Scfd1 Stxbp1l2	Mus musculus (Mouse)	639.0
Q9D8U8	Q9D8U8	Sorting nexin-5	Snx5	Mus musculus (Mouse)	404.0
Q9D1H7	Q9D1H7	Golgi to ER traffic protein 4 homolog	Get4	Mus musculus (Mouse)	327.0
Q6PB44	Q6PB44	Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48)	Ptpn23 Kiaa1471	Mus musculus (Mouse)	1692.0
Q6P5C5	Q6P5C5	Single-strand selective monofunctional uracil DNA glycosylase (EC 3.2.2.-)	Smug1	Mus musculus (Mouse)	279.0
Q8BH86	Q8BH86	D-glutamate cyclase, mitochondrial (EC 4.2.1.48)	Dglucy	Mus musculus (Mouse)	617.0
Q99KF1	Q99KF1	Transmembrane emp24 domain-containing protein 9 (Glycoprotein 25L2) (p24 family protein alpha-2) (p24alpha2)	Tmed9 Gp25l2	Mus musculus (Mouse)	235.0
E9QAQ7	E9QAQ7	AT-rich interactive domain-containing protein 1A	Arid1a	Mus musculus (Mouse)	2287.0
Q8R123-2	Q8R123	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	Flad1	Mus musculus (Mouse)	492.0
O55033	O55033	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	Nck2 Grb4	Mus musculus (Mouse)	380.0
Q69Z38	Q69Z38	Inactive tyrosine-protein kinase PEAK1 (Pseudopodium-enriched atypical kinase 1) (Sugen kinase 269) (Tyrosine-protein kinase SgK269)	Peak1 Kiaa2002 Sgk269	Mus musculus (Mouse)	1735.0
Q9EPU4	Q9EPU4	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)	Cpsf1 Cpsf160	Mus musculus (Mouse)	1441.0
Q3TAA8	Q3TAA8	Phosphatidylinositol glycan anchor biosynthesis class U protein (Phosphatidylinositol glycan anchor biosynthesis, class U)	Pigu Cdc91l1	Mus musculus (Mouse)	435.0
Q60841	Q60841	Reelin (EC 3.4.21.-) (Reeler protein)	Reln Rl	Mus musculus (Mouse)	3461.0
Q9Z0H1	Q9Z0H1	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	Wdr46 Bing4	Mus musculus (Mouse)	622.0
Q91YY4	Q91YY4	ATP synthase mitochondrial F1 complex assembly factor 2	Atpaf2	Mus musculus (Mouse)	289.0
Q60902	Q60902	Epidermal growth factor receptor substrate 15-like 1 (Epidermal growth factor receptor pathway substrate 15-related sequence) (Eps15-rs) (Eps15-related protein) (Eps15R)	Eps15l1 Eps15-rs Eps15R	Mus musculus (Mouse)	907.0
Q9QYE5	Q9QYE5	Protein jagged-2 (Jagged2)	Jag2	Mus musculus (Mouse)	1247.0
Q5BL07	Q5BL07	Peroxisomal ATPase PEX1 (EC 3.6.4.-) (Peroxin-1) (Peroxisome biogenesis factor 1)	Pex1	Mus musculus (Mouse)	1284.0
Q8BXQ2	Q8BXQ2	GPI transamidase component PIG-T (Neuronal development-associated protein 7) (Phosphatidylinositol-glycan biosynthesis class T protein)	Pigt Ndap7	Mus musculus (Mouse)	582.0
Q9CPQ3	Q9CPQ3	Mitochondrial import receptor subunit TOM22 homolog (Translocase of outer membrane 22 kDa subunit homolog)	Tomm22 Tom22	Mus musculus (Mouse)	142.0
Q3UHX0	Q3UHX0	Nucleolar protein 8	Nol8	Mus musculus (Mouse)	1147.0
P24547	P24547	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II)	Impdh2	Mus musculus (Mouse)	514.0
Q9D554	Q9D554	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	Sf3a3 Sap61	Mus musculus (Mouse)	501.0
P21981	P21981	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Isopeptidase TGM2) (EC 3.4.-.-) (Protein-glutamine deamidase TGM2) (EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2) (EC 2.3.1.-) (Tissue transglutaminase) (tTG) (Transglutaminase II) (TGase II) (Transglutaminase-2) (TG2) (TGase-2) (TGase2)	Tgm2	Mus musculus (Mouse)	686.0
Q9JIH2	Q9JIH2	Nuclear pore complex protein Nup50 (50 kDa nucleoporin) (Nuclear pore-associated protein 60 kDa-like) (Nucleoporin Nup50)	Nup50 Npap60	Mus musculus (Mouse)	466.0
Q8CEC0	Q8CEC0	Nuclear pore complex protein Nup88 (88 kDa nucleoporin) (Nucleoporin Nup88)	Nup88	Mus musculus (Mouse)	753.0
Q9EPL8	Q9EPL8	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	Ipo7 Ranbp7	Mus musculus (Mouse)	1038.0
B2RXQ2	B2RXQ2	Ppfia1 protein (Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF),-interacting protein (liprin), alpha 1)	Ppfia1	Mus musculus (Mouse)	1266.0
Q9CZU6	Q9CZU6	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	Cs	Mus musculus (Mouse)	464.0
Q9Z2W0	Q9Z2W0	Aspartyl aminopeptidase (EC 3.4.11.21)	Dnpep	Mus musculus (Mouse)	473.0
Q99JY9	Q99JY9	Actin-related protein 3 (Actin-like protein 3)	Actr3 Arp3	Mus musculus (Mouse)	418.0
Q3U2A8	Q3U2A8	Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	Vars2 Kiaa1885 Vars2l	Mus musculus (Mouse)	1060.0
Q8BHY2	Q8BHY2	Nucleolar complex protein 4 homolog (NOC4 protein homolog) (NOC4-like protein) (Nucleolar complex-associated protein 4-like protein)	Noc4l	Mus musculus (Mouse)	516.0
Q9D051	Q9D051	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)	Pdhb	Mus musculus (Mouse)	359.0
E9Q035	E9Q035	deleted			
Q9D3D9	Q9D3D9	ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)	Atp5f1d Atp5d	Mus musculus (Mouse)	168.0
Q9D1R9	Q9D1R9	60S ribosomal protein L34	Rpl34	Mus musculus (Mouse)	117.0
Q8VCX5-2	Q8VCX5	Calcium uptake protein 1, mitochondrial (Calcium-binding atopy-related autoantigen 1 homolog)	Micu1 Cbara1	Mus musculus (Mouse)	477.0
Q8BHE1	Q8BHE1	Gem-associated protein 8 (Gemin-8) (Protein FAM51A1)	Gemin8 Fam51a1	Mus musculus (Mouse)	238.0
Q9D8Y1	Q9D8Y1	Transmembrane protein 126A	Tmem126a	Mus musculus (Mouse)	196.0
P60122	P60122	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (DNA helicase p50) (Pontin 52) (TIP49a)	Ruvbl1 Tip49 Tip49a	Mus musculus (Mouse)	456.0
Q8R0X2	Q8R0X2	CDK2-associated and cullin domain-containing protein 1	Cacul1	Mus musculus (Mouse)	377.0
Q03265	Q03265	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Atp5f1a Atp5a1	Mus musculus (Mouse)	553.0
P20029	P20029	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Hspa5 Grp78	Mus musculus (Mouse)	655.0
Q8R1F1	Q8R1F1	Protein Niban 2 (Meg-3) (Niban-like protein 1) (Protein FAM129B)	Niban2 Fam129b	Mus musculus (Mouse)	749.0
P50544	P50544	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.9) (MVLCAD) (VLCAD)	Acadvl Vlcad	Mus musculus (Mouse)	656.0
P35922-3	P35922	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein) (FMRP) (Protein FMR-1) (mFmr1p)	Fmr1 Fmr-1	Mus musculus (Mouse)	614.0
P35123	P35123	Ubiquitin carboxyl-terminal hydrolase 4 (EC 3.4.19.12) (Deubiquitinating enzyme 4) (Ubiquitin thioesterase 4) (Ubiquitin-specific-processing protease 4) (Ubiquitous nuclear protein)	Usp4 Unp	Mus musculus (Mouse)	962.0
G5E896	G5E896	Enhancer of mRNA-decapping protein 4	Edc4	Mus musculus (Mouse)	1406.0
B1AX58	B1AX58	Plastin-3	Pls3	Mus musculus (Mouse)	639.0
Q61425	Q61425	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)	Hadh Hadhsc Mschad Schad	Mus musculus (Mouse)	314.0
Q9WVS8	Q9WVS8	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)	Mapk7 Bmk1 Erk5	Mus musculus (Mouse)	806.0
Q9WTP7	Q9WTP7	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)	Ak3 Ak3l Ak3l1 Akl3l	Mus musculus (Mouse)	227.0
Q91VJ4	Q91VJ4	Serine/threonine-protein kinase 38 (EC 2.7.11.1) (NDR1 protein kinase) (Nuclear Dbf2-related kinase 1)	Stk38 Ndr1	Mus musculus (Mouse)	465.0
